,rating,votes,awards
106,0.0,0,0
107,0.0,0,0
108,6.3,178,0
109,6.3,272,0
110,6.8,56,0
111,0.0,0,0
112,6.2,535,0
113,6.6,1432,0
114,6.4,316,0
115,6.4,48,0
116,5.9,50,1
117,5.9,90580,1
118,6.1,801,1
119,7.3,764,0
120,5.7,82825,1
121,7.6,16431,1
122,7.4,1223,0
123,7.3,139378,1
124,5.0,9985,1
125,5.9,8691,0
126,7.5,1987,0
127,6.6,3482,0
128,8.4,333411,1
129,0.0,0,0
130,4.3,14974,1
131,4.6,26686,1
132,7.5,93,0
133,7.0,88123,1
134,5.7,267,0
135,0.0,0,0
136,7.4,483,0
137,5.2,5625,0
138,4.8,599,0
139,4.9,2634,0
140,7.2,6664,0
141,7.6,13689,1
142,6.8,1585,0
143,7.0,3316,0
144,8.1,16108,1
145,7.0,40,0
146,7.4,2791,0
147,6.5,7218,1
148,6.7,4072,1
149,7.9,3695,1
150,7.9,1291,1
151,5.5,333,0
152,6.2,40808,1
153,6.5,50895,1
154,6.0,2582,1
155,7.8,912,0
156,5.7,5133,1
157,6.0,2363,0
158,7.1,1154,1
159,3.5,1565,1
160,5.4,1666,0
161,6.4,14470,1
162,6.7,707,1
163,0.0,0,0
164,6.1,396,1
165,6.1,9,0
166,5.4,193,1
167,5.5,144,0
168,0.0,0,0
169,5.5,2403,1
170,8.9,63771,1
171,0.0,0,0
172,6.0,2047,0
173,7.6,5,0
174,5.6,1227,1
175,4.6,5555,1
176,0.0,0,0
177,6.1,2979,1
178,0.0,0,0
179,6.4,837,1
180,7.8,153,0
181,0.0,0,0
182,5.7,2253,1
183,7.5,1578,1
184,6.5,35,1
185,8.2,492,0
186,0.0,0,0
187,0.0,0,0
188,6.7,652,1
189,7.4,2046,1
190,8.0,9623,1
191,5.9,1291,1
192,6.1,223,0
193,6.5,186,0
194,0.0,0,0
195,6.4,1371,1
196,6.1,181,0
197,6.8,530,1
198,0.0,0,0
199,7.5,8913,1
200,6.2,282,1
201,8.1,27880,1
202,0.0,0,0
203,0.0,0,0
204,6.6,9244,1
205,7.2,22207,1
206,6.2,1143,1
207,6.5,1155,1
208,7.8,21355,1
209,6.6,3977,1
210,6.1,39194,1
211,6.8,3701,1
212,0.0,0,0
213,7.6,6043,1
214,7.4,6262,1
215,7.2,3316,1
216,7.2,5708,1
217,7.3,1024,1
218,7.3,3529,1
219,6.9,1093,1
220,7.4,442,0
221,7.4,18,0
222,6.8,1734,1
223,5.4,89150,1
224,4.7,40531,1
225,8.0,2539,1
226,0.0,0,0
227,7.6,566,0
228,7.4,376,0
229,6.9,2421,1
230,7.0,572,0
231,6.8,764,0
232,7.0,416,0
233,6.9,318,0
234,6.1,2820,0
235,5.0,2868,1
236,8.1,323,0
237,8.9,17,0
238,7.2,345,0
239,5.4,13,0
240,6.0,47,0
241,7.5,10,0
242,7.2,49,0
243,7.6,220,1
244,6.2,11,0
245,5.7,41,0
246,8.2,5051,1
247,6.9,24234,1
248,7.0,5161,0
249,6.3,58882,1
250,0.0,0,0
251,5.6,24,0
252,7.4,12,0
253,6.0,2304,0
254,7.3,58850,1
255,6.4,998,1
256,0.0,0,0
257,4.7,61,0
258,7.0,991,0
259,6.2,390,0
260,8.3,3772,1
261,7.2,235,0
262,6.4,8810,0
263,7.6,13163,1
264,6.9,10,0
265,8.1,18,0
266,7.2,47,1
267,7.8,84999,1
268,7.2,33785,1
269,6.4,2886,0
270,6.8,1921,0
271,7.2,2254,0
272,7.3,227414,1
273,8.1,911647,1
274,0.0,0,0
275,5.2,9855,1
276,4.6,2882,1
277,6.9,42322,1
278,7.4,1031,0
279,7.5,1547,0
280,5.3,81512,1
281,0.0,0,0
282,8.0,28126,1
283,0.0,0,0
284,0.0,0,0
285,0.0,0,0
286,0.0,0,0
287,0.0,0,0
288,7.8,26,0
289,0.0,0,0
290,0.0,0,0
291,8.1,32,0
292,0.0,0,0
293,7.8,524,1
294,6.9,94078,1
295,7.3,10736,1
296,6.3,11109,0
297,6.1,120172,1
298,3.7,916,0
299,8.2,46710,1
300,5.0,3969,1
301,7.5,551637,1
302,7.0,106368,1
303,5.7,816,1
304,6.6,6454,0
305,7.6,155,1
306,5.1,41151,1
307,8.1,13699,1
308,6.4,10723,1
309,6.3,1570,1
310,0.0,0,0
311,5.4,68409,1
312,3.3,6039,0
313,7.9,21679,1
314,5.1,5713,0
315,0.0,0,0
316,7.2,12220,1
317,7.2,41442,1
318,5.7,3121,1
319,6.8,1212,1
320,7.0,17475,1
321,6.4,4577,0
322,6.8,7293,1
323,7.9,316,1
324,5.8,1551,1
325,0.0,0,0
326,7.3,1304,0
327,8.1,694,1
328,7.3,1203,0
329,5.9,1481,0
330,6.2,36,0
331,6.8,11872,1
332,6.2,5443,0
333,6.5,6476,1
334,5.6,1288,1
335,5.0,35066,1
336,2.3,8392,1
337,4.4,38414,1
338,0.0,0,0
339,5.4,2324,1
340,7.2,823,0
341,6.6,24212,0
342,5.1,312,1
343,5.0,4958,1
344,5.7,6553,0
345,5.7,7035,0
346,4.8,43653,1
347,7.3,195894,1
348,5.4,77328,1
349,5.0,52782,1
350,4.8,55628,1
351,7.3,2038,1
352,0.0,0,0
353,7.8,14,0
354,6.9,89713,1
355,7.0,74143,1
356,4.5,101062,1
357,5.3,19123,1
358,5.9,13127,1
359,6.9,40421,1
360,4.8,39775,1
361,6.3,137074,1
362,5.0,12439,0
363,6.2,1485,1
364,8.2,382,1
365,5.1,894,0
366,6.8,34,0
367,5.5,2484,1
368,7.0,367,0
369,7.3,462,0
370,7.2,826,0
371,7.1,386,0
372,6.1,2473,1
373,5.5,8812,0
374,7.5,421204,1
375,5.9,2814,0
376,6.0,23891,0
377,7.0,682,1
378,0.0,0,0
379,8.1,17,0
380,0.0,0,0
381,0.0,0,0
382,8.2,577209,1
383,4.1,43808,1
384,3.4,5423,1
385,7.7,94,0
386,7.6,183,1
387,7.1,63682,1
388,6.1,2240,1
